                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x893 ,-6.145e-07, 2.65e-07,   -2.316, 0.021,-1.13e-06,-9.44e-08
x894 ,    0.0010,    0.001,    0.984, 0.325,   -0.001,    0.003
x895 , 2.283e-07, 2.79e-07,    0.818, 0.413,-3.19e-07, 7.75e-07
x896 ,    0.0005,    0.000,    1.669, 0.095,-7.86e-05,    0.001
x897 ,    0.0040,  4.6e-05,   87.395, 0.000,    0.004,    0.004
x898 , 5.387e-08, 2.79e-07,    0.193, 0.847,-4.94e-07, 6.01e-07
x899 ,   -0.0144,    0.001,  -11.645, 0.000,   -0.017,   -0.012
x900 , 9.538e-08, 6.19e-08,    1.542, 0.123,-2.59e-08, 2.17e-07
x901 ,    0.0011,    0.000,    4.009, 0.000,    0.001,    0.002
x902 , 6.589e-07, 9.54e-06,    0.069, 0.945, -1.8e-05, 1.94e-05
x903 ,    0.0019,    0.001,    2.735, 0.006,    0.001,    0.003
x904 ,   -0.0007,    0.001,   -0.861, 0.389,   -0.002,    0.001
x905 ,   -0.0026,    0.001,   -1.758, 0.079,   -0.005,    0.000
x906 ,   -0.0002,    0.001,   -0.160, 0.873,   -0.002,    0.002
x907 ,  -7.4e-08, 2.75e-07,   -0.269, 0.788,-6.14e-07, 4.66e-07
x908 ,   -0.0027,    0.001,   -2.574, 0.010,   -0.005,   -0.001
x909 ,-6.491e-06, 3.77e-06,   -1.721, 0.085,-1.39e-05, 9.03e-07
x910 , 3.733e-08, 2.06e-08,    1.816, 0.069,-2.96e-09, 7.76e-08
x911 ,    0.0002, 9.51e-05,    1.762, 0.078,-1.89e-05,    0.000
x912 ,-3.813e-09, 4.85e-09,   -0.786, 0.432,-1.33e-08, 5.69e-09
x913 , 3.854e-05, 1.99e-05,    1.937, 0.053,-4.66e-07, 7.75e-05
x914 , 2.437e-07,  8.4e-07,    0.290, 0.772, -1.4e-06, 1.89e-06
x915 ,-5.696e-05, 5.12e-05,   -1.113, 0.266,   -0.000, 4.33e-05
x916 ,-6.624e-05, 5.24e-05,   -1.264, 0.206,   -0.000, 3.65e-05
x917 , 8.873e-05,    0.000,    0.806, 0.420,   -0.000,    0.000
x918 ,    0.0002, 8.11e-05,    2.474, 0.013, 4.16e-05,    0.000
x919 ,-4.003e-09, 2.15e-08,   -0.186, 0.852,-4.62e-08, 3.82e-08
x920 ,-6.486e-05, 8.49e-05,   -0.764, 0.445,   -0.000,    0.000
x921 , 2.049e-09, 2.44e-09,    0.839, 0.401,-2.74e-09, 6.83e-09
x922 ,    0.0001, 1.72e-05,    7.657, 0.000, 9.82e-05,    0.000
x923 , 2.168e-09, 8.72e-10,    2.485, 0.013, 4.58e-10, 3.88e-09
x924 ,    -2e-05,  3.6e-06,   -5.558, 0.000,-2.71e-05,-1.29e-05
x925 , 1.635e-07, 1.37e-07,    1.193, 0.233,-1.05e-07, 4.32e-07
x926 , 6.454e-05, 9.37e-06,    6.887, 0.000, 4.62e-05, 8.29e-05
x927 , 2.906e-05,    1e-05,    2.905, 0.004, 9.45e-06, 4.87e-05
x928 ,   -0.0001, 1.93e-05,   -6.116, 0.000,   -0.000,-8.03e-05
x929 ,-1.558e-07, 1.46e-05,   -0.011, 0.991,-2.88e-05, 2.85e-05
x930 , 1.508e-09, 3.99e-09,    0.378, 0.705,-6.31e-09, 9.33e-09
x931 ,-6.888e-05, 1.54e-05,   -4.485, 0.000, -9.9e-05,-3.88e-05
x932 ,-3.705e-08, 3.65e-08,   -1.015, 0.310,-1.09e-07, 3.45e-08
x933 ,-7.287e-12, 4.91e-12,   -1.483, 0.138,-1.69e-11, 2.34e-12
x934 ,-7.682e-09,  2.7e-08,   -0.285, 0.776,-6.05e-08, 4.52e-08
x935 , 1.076e-09, 7.49e-10,    1.438, 0.151,-3.91e-10, 2.54e-09
x936 ,-9.737e-08, 8.16e-08,   -1.194, 0.233,-2.57e-07, 6.25e-08
x937 , 8.152e-10, 6.03e-08,    0.014, 0.989,-1.17e-07, 1.19e-07
x938 ,-1.576e-07, 1.83e-07,   -0.859, 0.390,-5.17e-07, 2.02e-07
x939 ,  5.97e-08, 7.66e-08,    0.779, 0.436,-9.05e-08,  2.1e-07
x940 , 3.542e-11,    5e-11,    0.708, 0.479,-6.27e-11, 1.33e-10
x941 ,-4.242e-08, 8.43e-08,   -0.503, 0.615,-2.08e-07, 1.23e-07
x942 ,-1.165e-08, 2.21e-08,   -0.527, 0.598, -5.5e-08, 3.17e-08
x943 ,   -0.0001, 8.56e-05,   -1.630, 0.103,   -0.000, 2.83e-05
x944 , 2.495e-06,  3.6e-06,    0.693, 0.488,-4.56e-06, 9.55e-06
x945 ,   -0.0004,    0.000,   -1.893, 0.058,   -0.001, 1.59e-05
x946 ,-3.996e-05,    0.000,   -0.154, 0.877,   -0.001,    0.000
x947 ,    0.0014,    0.000,    2.900, 0.004,    0.000,    0.002
x948 ,   -0.0007,    0.000,   -1.871, 0.061,   -0.001, 3.36e-05
x949 , 2.144e-07, 9.56e-08,    2.243, 0.025, 2.71e-08, 4.02e-07
x950 ,    0.0007,    0.000,    1.683, 0.092,   -0.000,    0.001
x951 ,-8.331e-09, 4.62e-09,   -1.803, 0.071,-1.74e-08, 7.24e-10
x952 , 8.871e-11, 1.77e-10,    0.502, 0.616,-2.57e-10, 4.35e-10
x953 , 1.562e-08,  1.2e-08,    1.297, 0.195,-7.99e-09, 3.92e-08
x954 ,-1.823e-08, 1.32e-08,   -1.381, 0.167,-4.41e-08, 7.64e-09
x955 ,-2.587e-08, 2.47e-08,   -1.047, 0.295,-7.43e-08, 2.26e-08
x956 ,-1.493e-09, 1.87e-08,   -0.080, 0.936,-3.82e-08, 3.52e-08
x957 ,-3.549e-12, 5.13e-12,   -0.692, 0.489,-1.36e-11, 6.51e-12
x958 , 1.827e-08, 1.97e-08,    0.926, 0.354,-2.04e-08, 5.69e-08
x959 ,-4.541e-07, 5.58e-07,   -0.813, 0.416,-1.55e-06,  6.4e-07
x960 ,-2.346e-06, 5.16e-05,   -0.045, 0.964,   -0.000, 9.88e-05
x961 ,-8.466e-05, 5.37e-05,   -1.576, 0.115,   -0.000, 2.06e-05
x962 ,    0.0003,    0.000,    2.422, 0.015, 4.94e-05,    0.000
x963 ,    0.0004,    0.000,    3.014, 0.003,    0.000,    0.001
x964 , 4.226e-09, 1.64e-08,    0.257, 0.797, -2.8e-08, 3.64e-08
x965 ,   -0.0001, 7.59e-05,   -1.590, 0.112,   -0.000, 2.81e-05
x966 , -7.54e-07,  1.8e-06,   -0.419, 0.676,-4.29e-06, 2.78e-06
x967 , 2.421e-06, 1.97e-06,    1.227, 0.220,-1.45e-06, 6.29e-06
x968 , 1.806e-06, 3.57e-06,    0.506, 0.613,-5.18e-06, 8.79e-06
x969 , 7.961e-07, 3.03e-06,    0.262, 0.793,-5.15e-06, 6.74e-06
x970 , 2.939e-10, 6.29e-10,    0.467, 0.640,-9.39e-10, 1.53e-09
x971 , 1.396e-06, 2.91e-06,    0.480, 0.631, -4.3e-06, 7.09e-06
x972 ,   -0.0005,    0.000,   -4.225, 0.000,   -0.001,   -0.000
x973 ,   -0.0002, 8.86e-05,   -2.041, 0.041,   -0.000,-7.18e-06
x974 ,-7.904e-05,    0.000,   -0.390, 0.697,   -0.000,    0.000
x975 ,-8.662e-08, 5.39e-08,   -1.607, 0.108,-1.92e-07,  1.9e-08
x976 , 7.389e-05,    0.000,    0.347, 0.729,   -0.000,    0.000
x977 ,    0.0008,    0.000,    3.852, 0.000,    0.000,    0.001
x978 ,   -0.0007,    0.000,   -3.247, 0.001,   -0.001,   -0.000
x979 , 5.882e-08, 6.67e-08,    0.882, 0.378,-7.19e-08, 1.89e-07
x980 ,    0.0001,    0.000,    0.598, 0.550,   -0.000,    0.001
x981 ,    0.0002,    0.000,    0.523, 0.601,   -0.001,    0.001
x982 , 1.052e-07, 1.11e-07,    0.946, 0.344,-1.13e-07, 3.23e-07
x983 ,    0.0002,    0.000,    0.443, 0.658,   -0.001,    0.001
x984 ,-6.738e-08, 8.72e-08,   -0.773, 0.440,-2.38e-07, 1.04e-07
x985 ,   -0.0003,    0.000,   -0.780, 0.435,   -0.001,    0.000
x986 , 1.069e-08, 8.93e-08,    0.120, 0.905,-1.64e-07, 1.86e-07
x987 ,-2.181e-05, 4.04e-05,   -0.539, 0.590,   -0.000, 5.74e-05
x988 ,-1.429e-07, 2.12e-07,   -0.673, 0.501,-5.59e-07, 2.73e-07
x989 ,    0.0003,    0.001,    0.320, 0.749,   -0.002,    0.002
x990 , 1.505e-08, 4.93e-08,    0.305, 0.760,-8.16e-08, 1.12e-07
x991 ,   -0.0003,    0.000,   -1.403, 0.161,   -0.001,    0.000
x992 ,-5.402e-06, 8.87e-06,   -0.609, 0.543,-2.28e-05,  1.2e-05
x993 ,    0.0008,    0.001,    1.476, 0.140,   -0.000,    0.002
x994 ,    0.0008,    0.001,    1.440, 0.150,   -0.000,    0.002
x995 ,   -0.0030,    0.001,   -2.559, 0.011,   -0.005,   -0.001
x996 ,   -0.0006,    0.001,   -0.675, 0.499,   -0.002,    0.001
x997 , -2.92e-07, 2.15e-07,   -1.357, 0.175,-7.14e-07,  1.3e-07
x998 ,   -0.0002,    0.001,   -0.281, 0.779,   -0.002,    0.001
x999 ,-1.767e-08, 3.09e-08,   -0.572, 0.568,-7.83e-08, 4.29e-08
x1000,   -0.0016,    0.000,   -8.900, 0.000,   -0.002,   -0.001
x1001,-4.101e-09, 8.86e-09,   -0.463, 0.643,-2.15e-08, 1.33e-08
x1002, 9.963e-05, 3.99e-05,    2.499, 0.012, 2.15e-05,    0.000
x1003,-2.065e-07, 1.42e-06,   -0.145, 0.885,   -3e-06, 2.59e-06
x1004,   -0.0005, 9.89e-05,   -5.298, 0.000,   -0.001,   -0.000
x1005,   -0.0006,    0.000,   -5.883, 0.000,   -0.001,   -0.000
x1006,    0.0007,    0.000,    3.467, 0.001,    0.000,    0.001
x1007,   -0.0001,    0.000,   -0.792, 0.428,   -0.000,    0.000
x1008,-8.747e-08, 4.04e-08,   -2.163, 0.031,-1.67e-07,-8.22e-09
x1009,    0.0031,    0.000,   19.254, 0.000,    0.003,    0.003
x1010, 5.602e-07, 4.41e-07,    1.270, 0.204,-3.04e-07, 1.42e-06
x1011,-4.628e-11,  5.6e-11,   -0.827, 0.408,-1.56e-10, 6.34e-11
x1012,-1.924e-07, 1.98e-07,   -0.972, 0.331, -5.8e-07, 1.96e-07
x1013, 8.558e-10, 7.73e-09,    0.111, 0.912,-1.43e-08,  1.6e-08
x1014,  5.64e-07, 7.29e-07,    0.774, 0.439,-8.65e-07, 1.99e-06
x1015, 9.853e-08, 8.08e-07,    0.122, 0.903,-1.48e-06, 1.68e-06
x1016, 4.367e-06, 1.64e-06,    2.657, 0.008, 1.15e-06, 7.59e-06
x1017,-5.955e-07, 7.27e-07,   -0.819, 0.413,-2.02e-06,  8.3e-07
x1018, -1.39e-09, 5.19e-10,   -2.676, 0.007,-2.41e-09,-3.72e-10
x1019, 1.502e-06, 8.95e-07,    1.678, 0.093,-2.52e-07, 3.26e-06
x1020, -4.24e-07, 2.12e-07,   -1.998, 0.046, -8.4e-07,-8.04e-09
x1021,    0.0015,    0.001,    1.684, 0.092,   -0.000,    0.003
x1022,-3.776e-06, 3.47e-05,   -0.109, 0.913,-7.18e-05, 6.42e-05
x1023,    0.0003,    0.002,    0.121, 0.904,   -0.004,    0.005
x1024,   -0.0058,    0.003,   -2.203, 0.028,   -0.011,   -0.001
x1025,   -0.0024,    0.005,   -0.495, 0.621,   -0.012,    0.007
x1026,   -0.0026,    0.004,   -0.719, 0.472,   -0.010,    0.005
x1027, 1.766e-06, 9.24e-07,    1.910, 0.056,-4.58e-08, 3.58e-06
x1028,   -0.0066,    0.004,   -1.735, 0.083,   -0.014,    0.001
x1029, 7.395e-08, 4.91e-08,    1.507, 0.132,-2.22e-08,  1.7e-07
x1030, 8.544e-10, 1.75e-09,    0.489, 0.625,-2.57e-09, 4.28e-09
x1031,-1.008e-07,  1.2e-07,   -0.843, 0.399,-3.35e-07, 1.34e-07
x1032,-1.119e-07, 1.35e-07,   -0.828, 0.408,-3.77e-07, 1.53e-07
x1033, 2.703e-07, 2.46e-07,    1.097, 0.273,-2.13e-07, 7.53e-07
x1034,-1.999e-07, 1.84e-07,   -1.085, 0.278,-5.61e-07, 1.61e-07
x1035,-8.126e-11, 5.07e-11,   -1.604, 0.109,-1.81e-10,  1.8e-11
x1036,-5.599e-07, 1.93e-07,   -2.896, 0.004,-9.39e-07,-1.81e-07
x1037,-9.478e-06, 6.21e-06,   -1.527, 0.127,-2.16e-05, 2.68e-06
x1038,    0.0011,    0.001,    2.066, 0.039, 5.86e-05,    0.002
x1039,    0.0009,    0.001,    1.495, 0.135,   -0.000,    0.002
x1040,   -0.0014,    0.001,   -1.171, 0.242,   -0.004,    0.001
x1041,    0.0002,    0.001,    0.124, 0.902,   -0.002,    0.003
x1042,-5.079e-08, 1.77e-07,   -0.286, 0.775,-3.98e-07, 2.97e-07
x1043,    0.0014,    0.001,    1.731, 0.083,   -0.000,    0.003
x1044, 1.621e-05, 1.86e-05,    0.873, 0.382,-2.02e-05, 5.26e-05
x1045, 1.354e-05,  2.1e-05,    0.644, 0.520,-2.77e-05, 5.48e-05
x1046,-3.427e-06, 3.71e-05,   -0.092, 0.926,-7.61e-05, 6.92e-05
x1047,-4.178e-06, 3.05e-05,   -0.137, 0.891, -6.4e-05, 5.56e-05
x1048,-6.795e-09, 6.22e-09,   -1.092, 0.275, -1.9e-08,  5.4e-09
x1049,-5.648e-05, 2.93e-05,   -1.926, 0.054,   -0.000, 9.94e-07
x1050,    0.0066,    0.001,    4.870, 0.000,    0.004,    0.009
x1051,    0.0037,    0.001,    4.241, 0.000,    0.002,    0.005
x1052,   -0.0010,    0.002,   -0.476, 0.634,   -0.005,    0.003
x1053, 8.759e-07, 5.59e-07,    1.566, 0.117,-2.21e-07, 1.97e-06
x1054,    0.0007,    0.002,    0.312, 0.755,   -0.004,    0.005
x1055,   -0.0106,    0.002,   -4.322, 0.000,   -0.015,   -0.006
x1056,    0.0027,    0.002,    1.185, 0.236,   -0.002,    0.007
x1057, 1.201e-06, 6.93e-07,    1.733, 0.083,-1.57e-07, 2.56e-06
x1058,    0.0007,    0.002,    0.312, 0.755,   -0.004,    0.005
x1059,    0.0032,    0.004,    0.761, 0.447,   -0.005,    0.012
x1060,-7.654e-07, 1.25e-06,   -0.612, 0.540,-3.22e-06, 1.69e-06
x1061,    0.0049,    0.004,    1.098, 0.272,   -0.004,    0.014
x1062,  7.43e-07, 8.62e-07,    0.862, 0.389,-9.47e-07, 2.43e-06
x1063,    0.0087,    0.003,    2.618, 0.009,    0.002,    0.015
x1064, 5.863e-07, 8.82e-07,    0.665, 0.506,-1.14e-06, 2.31e-06
x1065, -4.74e-10, 1.46e-09,   -0.324, 0.746,-3.34e-09, 2.39e-09
x1066, 2.266e-05, 1.28e-05,    1.776, 0.076,-2.34e-06, 4.77e-05
x1067,-1.614e-10,  6.3e-10,   -0.256, 0.798, -1.4e-09, 1.07e-09
x1068, -2.56e-06,  2.7e-06,   -0.947, 0.344,-7.86e-06, 2.74e-06
x1069,-4.075e-07, 1.18e-07,   -3.465, 0.001,-6.38e-07,-1.77e-07
x1070,  1.14e-06,  6.6e-06,    0.173, 0.863,-1.18e-05, 1.41e-05
x1071,-6.637e-06, 6.56e-06,   -1.012, 0.311,-1.95e-05, 6.21e-06
x1072,-3.631e-05, 1.38e-05,   -2.637, 0.008,-6.33e-05,-9.33e-06
x1073,-7.479e-06, 1.07e-05,   -0.700, 0.484,-2.84e-05, 1.34e-05
x1074, 1.137e-10, 3.17e-09,    0.036, 0.971, -6.1e-09, 6.33e-09
x1075, 2.728e-05, 1.13e-05,    2.412, 0.016, 5.11e-06, 4.94e-05
x1076,-3.638e-08, 3.08e-08,   -1.180, 0.238,-9.68e-08,  2.4e-08
x1077, 3.938e-12, 6.28e-12,    0.627, 0.531,-8.38e-12, 1.63e-11
x1078,-1.617e-08, 4.25e-08,   -0.380, 0.704,-9.95e-08, 6.71e-08
x1079, 2.638e-09, 1.52e-09,    1.741, 0.082,-3.33e-10, 5.61e-09
x1080,-2.818e-07, 1.32e-07,   -2.136, 0.033, -5.4e-07,-2.33e-08
x1081,-2.889e-08, 1.15e-07,   -0.251, 0.802,-2.54e-07, 1.97e-07
x1082, 1.206e-06, 3.92e-07,    3.080, 0.002, 4.39e-07, 1.97e-06
x1083,-1.504e-07, 1.28e-07,   -1.173, 0.241,-4.02e-07, 1.01e-07
x1084,-1.585e-10, 7.11e-11,   -2.228, 0.026,-2.98e-10,-1.91e-11
x1085, 9.321e-09, 1.55e-07,    0.060, 0.952,-2.94e-07, 3.13e-07
x1086,  -1.9e-08, 1.61e-08,   -1.182, 0.237,-5.05e-08, 1.25e-08
x1087,-1.343e-06, 6.34e-05,   -0.021, 0.983,   -0.000,    0.000
x1088, 2.053e-06, 2.98e-06,    0.688, 0.491,-3.79e-06,  7.9e-06
x1089,    0.0002,    0.000,    0.996, 0.319,   -0.000,    0.000
x1090,-6.104e-05,    0.000,   -0.354, 0.724,   -0.000,    0.000
x1091,   -0.0005,    0.000,   -1.433, 0.152,   -0.001,    0.000
x1092,    0.0002,    0.000,    0.676, 0.499,   -0.000,    0.001
x1093,-5.449e-08, 7.37e-08,   -0.739, 0.460,-1.99e-07,    9e-08
x1094,    0.0006,    0.000,    2.237, 0.025, 8.03e-05,    0.001
x1095, 2.936e-09,  3.4e-09,    0.864, 0.387,-3.72e-09, 9.59e-09
x1096, 2.757e-11, 1.48e-10,    0.187, 0.852,-2.62e-10, 3.17e-10
x1097,  3.23e-09, 8.34e-09,    0.388, 0.698,-1.31e-08, 1.96e-08
x1098,-6.901e-09, 8.32e-09,   -0.829, 0.407,-2.32e-08, 9.41e-09
x1099, 1.238e-08, 1.78e-08,    0.696, 0.487,-2.25e-08, 4.73e-08
x1100, 7.444e-09, 1.33e-08,    0.560, 0.576,-1.86e-08, 3.35e-08
x1101,-9.688e-13,    4e-12,   -0.242, 0.808, -8.8e-12, 6.86e-12
x1102, 1.255e-08, 1.41e-08,    0.888, 0.375,-1.52e-08, 4.03e-08
x1103, 1.738e-07, 4.76e-07,    0.365, 0.715, -7.6e-07, 1.11e-06
x1104, 1.075e-05, 3.73e-05,    0.289, 0.773,-6.23e-05, 8.38e-05
x1105,-2.421e-05, 3.83e-05,   -0.631, 0.528,-9.93e-05, 5.09e-05
x1106,-1.018e-05,  7.5e-05,   -0.136, 0.892,   -0.000,    0.000
x1107, 6.636e-05, 8.98e-05,    0.739, 0.460,   -0.000,    0.000
x1108,-7.509e-10, 1.29e-08,   -0.058, 0.954,-2.61e-08, 2.46e-08
x1109,-1.183e-05, 5.66e-05,   -0.209, 0.834,   -0.000, 9.91e-05
x1110, 1.071e-06, 1.45e-06,    0.739, 0.460,-1.77e-06, 3.91e-06
x1111,-1.119e-06, 1.63e-06,   -0.689, 0.491, -4.3e-06, 2.07e-06
x1112,-2.074e-06, 2.72e-06,   -0.761, 0.446,-7.41e-06, 3.27e-06
x1113, 4.709e-06, 2.59e-06,    1.817, 0.069,-3.72e-07, 9.79e-06
x1114, 8.331e-11, 5.62e-10,    0.148, 0.882,-1.02e-09, 1.19e-09
x1115,-9.378e-07, 2.49e-06,   -0.377, 0.706,-5.81e-06, 3.94e-06
x1116,-6.507e-05,  7.9e-05,   -0.824, 0.410,   -0.000, 8.98e-05
x1117,-9.711e-05, 6.58e-05,   -1.476, 0.140,   -0.000, 3.18e-05
x1118,-7.966e-05,    0.000,   -0.563, 0.574,   -0.000,    0.000
x1119, 3.876e-08, 4.28e-08,    0.905, 0.365,-4.52e-08, 1.23e-07
x1120,  8.02e-06,    0.000,    0.053, 0.958,   -0.000,    0.000
x1121,-6.963e-06,    0.000,   -0.047, 0.962,   -0.000,    0.000
x1122,   -0.0002,    0.000,   -1.209, 0.227,   -0.000,    0.000
x1123, 2.552e-08, 4.98e-08,    0.512, 0.609,-7.22e-08, 1.23e-07
x1124,    0.0001,    0.000,    0.805, 0.421,   -0.000,    0.000
x1125,   -0.0002,    0.000,   -0.599, 0.549,   -0.001,    0.000
x1126,-1.873e-08,  9.2e-08,   -0.204, 0.839,-1.99e-07, 1.62e-07
x1127,    0.0001,    0.000,    0.339, 0.734,   -0.001,    0.001
x1128, -4.72e-08, 6.88e-08,   -0.686, 0.492,-1.82e-07, 8.76e-08
x1129,-6.114e-06,    0.000,   -0.025, 0.980,   -0.000,    0.000
x1130, 3.376e-08, 7.17e-08,    0.471, 0.638,-1.07e-07, 1.74e-07
x1131, 4.426e-10, 3.03e-09,    0.146, 0.884, -5.5e-09, 6.39e-09
x1132,-4.482e-13, 4.28e-13,   -1.047, 0.295,-1.29e-12, 3.91e-13
x1133, 2.542e-10, 1.67e-09,    0.152, 0.879,-3.02e-09, 3.53e-09
x1134, 2.027e-11, 6.41e-11,    0.316, 0.752,-1.05e-10, 1.46e-10
x1135,-8.834e-09, 7.96e-09,   -1.110, 0.267,-2.44e-08, 6.76e-09
x1136, 4.687e-09, 6.11e-09,    0.767, 0.443,-7.28e-09, 1.67e-08
x1137, 1.759e-08, 1.44e-08,    1.219, 0.223,-1.07e-08, 4.59e-08
x1138, -2.18e-09, 7.35e-09,   -0.297, 0.767,-1.66e-08, 1.22e-08
x1139, 5.269e-12, 4.57e-12,    1.154, 0.249,-3.68e-12, 1.42e-11
x1140,-4.248e-09, 8.17e-09,   -0.520, 0.603,-2.03e-08, 1.18e-08
x1141,-7.255e-09, 2.83e-09,   -2.563, 0.010,-1.28e-08,-1.71e-09
x1142,-4.841e-05, 1.14e-05,   -4.239, 0.000,-7.08e-05, -2.6e-05
x1143,  1.45e-06, 4.75e-07,    3.051, 0.002, 5.18e-07, 2.38e-06
x1144,-4.017e-05, 3.02e-05,   -1.330, 0.183,-9.94e-05,  1.9e-05
x1145, 3.426e-05, 3.19e-05,    1.075, 0.282,-2.82e-05, 9.67e-05
x1146,    0.0001, 6.23e-05,    1.642, 0.101,-1.98e-05,    0.000
x1147, 5.724e-05, 4.81e-05,    1.190, 0.234, -3.7e-05,    0.000
x1148,-4.492e-09, 1.31e-08,   -0.342, 0.732,-3.02e-08, 2.13e-08
x1149,    0.0006, 5.15e-05,   12.217, 0.000,    0.001,    0.001
x1150,-1.172e-10, 6.07e-10,   -0.193, 0.847,-1.31e-09, 1.07e-09
x1151,-1.281e-11, 2.33e-11,   -0.550, 0.582,-5.84e-11, 3.28e-11
x1152, -1.14e-09,  1.5e-09,   -0.760, 0.447,-4.08e-09,  1.8e-09
x1153,-2.258e-09, 1.59e-09,   -1.422, 0.155,-5.37e-09, 8.55e-10
x1154,-2.241e-11, 3.12e-09,   -0.007, 0.994,-6.13e-09, 6.09e-09
x1155, 9.523e-10, 2.34e-09,    0.406, 0.685,-3.64e-09, 5.55e-09
x1156,-5.835e-14, 7.05e-13,   -0.083, 0.934,-1.44e-12, 1.32e-12
x1157,-4.949e-09,  2.5e-09,   -1.983, 0.047,-9.84e-09,-5.67e-11
x1158, 1.174e-07,  7.7e-08,    1.526, 0.127,-3.34e-08, 2.68e-07
x1159, 8.012e-06, 6.78e-06,    1.182, 0.237,-5.27e-06, 2.13e-05
x1160, 1.339e-05, 6.91e-06,    1.938, 0.053,-1.48e-07, 2.69e-05
x1161,-3.391e-05, 1.38e-05,   -2.454, 0.014, -6.1e-05,-6.83e-06
x1162, 7.572e-05, 1.57e-05,    4.824, 0.000,  4.5e-05,    0.000
x1163, 4.417e-10, 2.35e-09,    0.188, 0.851,-4.17e-09, 5.05e-09
x1164,-2.338e-05, 1.02e-05,   -2.294, 0.022,-4.34e-05, -3.4e-06
x1165,-7.912e-07, 2.37e-07,   -3.337, 0.001,-1.26e-06,-3.27e-07
x1166, 2.117e-08, 2.53e-07,    0.084, 0.933,-4.74e-07, 5.16e-07
x1167, 2.227e-06,  4.7e-07,    4.735, 0.000, 1.31e-06, 3.15e-06
x1168,-1.991e-07, 4.07e-07,   -0.489, 0.625,-9.97e-07, 5.98e-07
x1169,-4.527e-11, 8.84e-11,   -0.512, 0.608,-2.18e-10, 1.28e-10
x1170, 1.163e-06, 3.92e-07,    2.968, 0.003, 3.95e-07, 1.93e-06
x1171, 7.826e-05, 1.44e-05,    5.426, 0.000,    5e-05,    0.000
x1172,    0.0001, 1.09e-05,   11.050, 0.000,  9.9e-05,    0.000
x1173,-3.878e-05, 2.55e-05,   -1.521, 0.128,-8.87e-05, 1.12e-05
x1174, 2.114e-08, 7.61e-09,    2.778, 0.005, 6.23e-09, 3.61e-08
x1175,-8.802e-06, 2.68e-05,   -0.328, 0.743,-6.14e-05, 4.38e-05
x1176,-7.852e-05, 2.59e-05,   -3.029, 0.002,   -0.000,-2.77e-05
x1177, 9.953e-06, 2.67e-05,    0.372, 0.710,-4.25e-05, 6.24e-05
x1178,-5.588e-09, 9.25e-09,   -0.604, 0.546,-2.37e-08, 1.26e-08
x1179, 8.999e-05, 2.74e-05,    3.287, 0.001, 3.63e-05,    0.000
x1180,    0.0001, 5.24e-05,    2.322, 0.020,  1.9e-05,    0.000
x1181,-3.176e-08, 1.52e-08,   -2.082, 0.037,-6.16e-08,-1.87e-09
x1182, 4.139e-05, 5.49e-05,    0.754, 0.451,-6.62e-05,    0.000
x1183,-2.942e-08, 1.23e-08,   -2.402, 0.016,-5.34e-08,-5.41e-09
x1184,-3.812e-05, 4.28e-05,   -0.891, 0.373,   -0.000, 4.57e-05
x1185,-4.149e-08, 1.28e-08,   -3.252, 0.001,-6.65e-08,-1.65e-08
x1186,-7.035e-12, 8.81e-12,   -0.799, 0.425,-2.43e-11, 1.02e-11
x1187,-2.886e-08, 3.31e-08,   -0.872, 0.383,-9.37e-08,  3.6e-08
x1188,-1.024e-09, 1.11e-09,   -0.925, 0.355, -3.2e-09, 1.15e-09
x1189,-2.018e-07, 1.57e-07,   -1.285, 0.199, -5.1e-07, 1.06e-07
x1190, 2.181e-07, 1.22e-07,    1.784, 0.074,-2.15e-08, 4.58e-07
x1191, 2.879e-07, 2.57e-07,    1.119, 0.263,-2.16e-07, 7.92e-07
x1192, 2.019e-07, 1.36e-07,    1.480, 0.139,-6.54e-08, 4.69e-07
x1193,-3.797e-11, 9.86e-11,   -0.385, 0.700,-2.31e-10, 1.55e-10
x1194,-1.051e-07, 1.83e-07,   -0.573, 0.566,-4.64e-07, 2.54e-07
x1195,-2.281e-12,  1.2e-11,   -0.190, 0.850,-2.59e-11, 2.13e-11
x1196,-1.642e-14, 5.61e-13,   -0.029, 0.977,-1.12e-12, 1.08e-12
x1197, 3.956e-11, 3.02e-11,    1.312, 0.190,-1.95e-11, 9.86e-11
x1198, 5.811e-11, 3.85e-11,    1.509, 0.131,-1.73e-11, 1.34e-10
x1199,-2.597e-10, 9.71e-11,   -2.676, 0.007, -4.5e-10,-6.95e-11
x1200,  3.82e-12, 2.78e-11,    0.137, 0.891,-5.07e-11, 5.83e-11
x1201, 1.029e-14, 1.76e-14,    0.586, 0.558,-2.41e-14, 4.47e-14
