                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x177 ,-1.124e-07, 1.01e-07,   -1.110, 0.267,-3.11e-07, 8.61e-08
x178 , 2.064e-07, 1.12e-07,    1.837, 0.066,-1.39e-08, 4.27e-07
x179 , 2.971e-08, 2.13e-07,    0.139, 0.889,-3.88e-07, 4.48e-07
x180 , 2.465e-08, 1.62e-07,    0.152, 0.879,-2.94e-07, 3.43e-07
x181 , 4.968e-11, 5.06e-11,    0.982, 0.326,-4.95e-11, 1.49e-10
x182 ,-9.252e-08, 1.71e-07,   -0.541, 0.589,-4.28e-07, 2.43e-07
x183 ,-7.012e-06, 5.48e-06,   -1.280, 0.201,-1.78e-05, 3.73e-06
x184 ,   -0.0007,    0.000,   -1.634, 0.102,   -0.002,    0.000
x185 ,   -0.0002,    0.000,   -0.507, 0.612,   -0.001,    0.001
x186 ,    0.0013,    0.001,    1.296, 0.195,   -0.001,    0.003
x187 ,   -0.0041,    0.001,   -3.644, 0.000,   -0.006,   -0.002
x188 ,-2.022e-07, 1.78e-07,   -1.134, 0.257,-5.52e-07, 1.47e-07
x189 ,    0.0008,    0.001,    1.135, 0.256,   -0.001,    0.002
x190 , 7.912e-06, 1.73e-05,    0.456, 0.648,-2.61e-05, 4.19e-05
x191 ,-6.353e-06, 1.84e-05,   -0.346, 0.730,-4.24e-05, 2.97e-05
x192 ,-3.501e-05, 3.66e-05,   -0.958, 0.338,   -0.000, 3.66e-05
x193 ,-1.043e-05, 2.89e-05,   -0.361, 0.718,-6.71e-05, 4.62e-05
x194 , 1.876e-09, 6.79e-09,    0.276, 0.782,-1.14e-08, 1.52e-08
x195 ,-2.805e-05, 2.81e-05,   -1.000, 0.318,-8.31e-05,  2.7e-05
x196 ,   -0.0008,    0.001,   -0.722, 0.470,   -0.003,    0.001
x197 ,   -0.0014,    0.001,   -1.846, 0.065,   -0.003, 8.69e-05
x198 ,   -0.0009,    0.002,   -0.483, 0.629,   -0.004,    0.003
x199 ,-7.895e-07, 5.48e-07,   -1.440, 0.150,-1.86e-06, 2.85e-07
x200 ,    0.0040,    0.002,    2.144, 0.032,    0.000,    0.008
x201 ,    0.0055,    0.002,    2.782, 0.005,    0.002,    0.009
x202 ,    0.0011,    0.002,    0.544, 0.587,   -0.003,    0.005
x203 ,-2.895e-08, 6.73e-07,   -0.043, 0.966,-1.35e-06, 1.29e-06
x204 ,-5.259e-05,    0.002,   -0.026, 0.979,   -0.004,    0.004
x205 ,   -0.0009,    0.004,   -0.243, 0.808,   -0.008,    0.006
x206 , 1.628e-07,  1.2e-06,    0.135, 0.892,-2.19e-06, 2.52e-06
x207 ,   -0.0078,    0.004,   -1.996, 0.046,   -0.015,   -0.000
x208 , 4.826e-07,  9.1e-07,    0.530, 0.596, -1.3e-06, 2.27e-06
x209 ,    0.0004,    0.003,    0.142, 0.887,   -0.005,    0.006
x210 , 1.826e-06,  9.4e-07,    1.943, 0.052,-1.57e-08, 3.67e-06
x211 , 4.369e-09,  2.4e-08,    0.182, 0.856,-4.27e-08, 5.15e-08
x212 ,-5.021e-08, 2.09e-08,   -2.407, 0.016,-9.11e-08,-9.33e-09
x213 ,-4.781e-08, 4.93e-08,   -0.969, 0.333,-1.45e-07, 4.89e-08
x214 ,-4.601e-08, 1.61e-08,   -2.864, 0.004,-7.75e-08,-1.45e-08
x215 ,-2.968e-07, 1.73e-07,   -1.717, 0.086,-6.36e-07, 4.21e-08
x216 , -1.08e-08, 1.27e-08,   -0.850, 0.395,-3.57e-08, 1.41e-08
x217 ,-3.224e-09, 2.33e-09,   -1.386, 0.166,-7.78e-09, 1.33e-09
x218 ,-3.191e-11, 2.93e-11,   -1.090, 0.276,-8.93e-11, 2.55e-11
x219 , 4.977e-09, 5.47e-08,    0.091, 0.928,-1.02e-07, 1.12e-07
x220 ,-1.004e-12, 2.86e-12,   -0.352, 0.725, -6.6e-12, 4.59e-12
x221 , 8.642e-09,  1.1e-08,    0.789, 0.430,-1.28e-08, 3.01e-08
x222 , 1.006e-10, 4.19e-10,    0.240, 0.810,-7.21e-10, 9.22e-10
x223 , 5.724e-08, 3.18e-08,    1.800, 0.072,-5.08e-09,  1.2e-07
x224 , 2.946e-08, 3.59e-08,    0.821, 0.411,-4.08e-08, 9.97e-08
x225 ,-3.488e-08, 6.52e-08,   -0.535, 0.593,-1.63e-07, 9.29e-08
x226 , 1.388e-08, 4.94e-08,    0.281, 0.778,-8.29e-08, 1.11e-07
x227 , 3.034e-12, 1.36e-11,    0.222, 0.824,-2.37e-11, 2.98e-11
x228 ,-2.673e-08, 5.13e-08,   -0.522, 0.602,-1.27e-07, 7.37e-08
x229 ,-2.134e-06, 1.27e-06,   -1.682, 0.093,-4.62e-06, 3.52e-07
x230 , 1.792e-06, 3.79e-06,    0.473, 0.636,-5.63e-06, 9.21e-06
x231 ,-4.347e-07, 1.12e-06,   -0.388, 0.698,-2.63e-06, 1.76e-06
x232 , 7.725e-05, 1.27e-05,    6.098, 0.000, 5.24e-05,    0.000
x233 ,-6.933e-07, 9.15e-07,   -0.758, 0.449,-2.49e-06,  1.1e-06
x234 ,-2.639e-07,  1.7e-07,   -1.555, 0.120,-5.97e-07, 6.87e-08
x235 , 4.559e-10, 8.92e-10,    0.511, 0.609,-1.29e-09,  2.2e-09
x236 , 1.724e-05, 4.69e-06,    3.679, 0.000, 8.05e-06, 2.64e-05
x237 , 2.134e-10, 2.11e-10,    1.010, 0.312,-2.01e-10, 6.27e-10
x238 ,-1.333e-06, 7.93e-07,   -1.680, 0.093,-2.89e-06, 2.22e-07
x239 , 1.126e-07,  3.1e-08,    3.638, 0.000,  5.2e-08, 1.73e-07
x240 , 2.182e-06, 2.38e-06,    0.918, 0.359,-2.48e-06, 6.84e-06
x241 , 1.675e-06, 2.56e-06,    0.655, 0.513,-3.34e-06, 6.69e-06
x242 , 4.831e-06, 5.08e-06,    0.952, 0.341,-5.12e-06, 1.48e-05
x243 , 3.379e-07, 3.67e-06,    0.092, 0.927,-6.86e-06, 7.54e-06
x244 ,-1.042e-09, 1.03e-09,   -1.013, 0.311,-3.06e-09, 9.74e-10
x245 ,  6.12e-06, 3.75e-06,    1.631, 0.103,-1.23e-06, 1.35e-05
x246 ,-3.815e-06, 3.59e-06,   -1.061, 0.289,-1.09e-05, 3.23e-06
x247 ,-1.365e-06, 9.96e-07,   -1.371, 0.170,-3.32e-06, 5.86e-07
x248 ,-3.237e-05, 1.44e-05,   -2.246, 0.025,-6.06e-05,-4.13e-06
x249 , 9.505e-07,  7.9e-07,    1.203, 0.229,-5.98e-07,  2.5e-06
x250 , 3.314e-07, 1.57e-07,    2.104, 0.035, 2.28e-08,  6.4e-07
x251 , 2.722e-10, 4.88e-10,    0.558, 0.577,-6.84e-10, 1.23e-09
x252 ,-2.149e-06, 4.55e-06,   -0.472, 0.637,-1.11e-05, 6.77e-06
x253 , 1.184e-10, 1.88e-10,    0.631, 0.528,-2.49e-10, 4.86e-10
x254 ,-2.544e-07,  6.7e-07,   -0.380, 0.704,-1.57e-06, 1.06e-06
x255 , 8.885e-09, 2.84e-08,    0.313, 0.754,-4.67e-08, 6.45e-08
x256 ,-4.101e-06, 2.18e-06,   -1.883, 0.060,-8.37e-06, 1.66e-07
x257 , 9.308e-07, 2.46e-06,    0.378, 0.706, -3.9e-06, 5.76e-06
x258 ,-3.151e-06,  4.8e-06,   -0.656, 0.512,-1.26e-05, 6.26e-06
x259 ,-3.764e-06, 3.35e-06,   -1.123, 0.261,-1.03e-05,  2.8e-06
x260 ,-6.707e-11,  8.5e-10,   -0.079, 0.937,-1.73e-09,  1.6e-09
x261 , 3.298e-06, 3.34e-06,    0.987, 0.324,-3.25e-06, 9.85e-06
x262 , 4.223e-06, 2.52e-06,    1.673, 0.094,-7.25e-07, 9.17e-06
x263 ,-8.687e-05,  2.7e-05,   -3.222, 0.001,   -0.000, -3.4e-05
x264 ,  1.15e-07, 1.94e-06,    0.059, 0.953,-3.69e-06, 3.92e-06
x265 , 2.027e-06, 3.53e-07,    5.745, 0.000, 1.34e-06, 2.72e-06
